,order_id,order_price_total
1370,305104,99.15
1371,305106,59.99
1372,305110,44.99
1373,305117,82.99
1374,305118,14.99
1375,305119,29.99
1376,305120,19.99
1377,305125,46.99
1378,305126,164.98000000000002
1379,305128,770.1400000000001
1380,305133,17.99
1381,305137,16.99
1382,305140,66.89
1383,305148,19.98
1384,305154,36.99
1385,305161,36.99
1386,305164,36.99
1387,305166,39.99
1388,305172,105.0
1389,305174,17.99
1390,305176,248.99
1391,305185,29.98
1392,305186,14.99
1393,305187,269.99
1394,305190,36.99
1395,305197,125.99
1396,305198,90.97
1397,305206,9.99
1398,305211,19.98
1399,305217,12.99
1400,305225,39.99
1401,305227,54.99
1402,305240,183.98
1403,305242,52.99
1404,305246,14.04
1405,305250,19.98
1406,305284,62.980000000000004
1407,305285,49.99
1408,305286,16.99
1409,305287,37.98
1410,305297,14.99
1411,305298,39.99
1412,305305,19.99
1413,305315,79.99
1414,305328,4.99
1415,305329,29.98
1416,305334,174.95
1417,305340,20.99
1418,305341,264.99
1419,305344,82.99
1420,305349,154.98
1421,305356,18.86
1422,305368,172.97
1423,305369,14.99
1424,305386,19.99
1425,305388,49.99
1426,305396,41.879999999999995
1427,305414,68.98
1428,305420,71.98
1429,305421,63.989999999999995
1430,305432,74.97999999999999
1431,305433,150.96
1432,305437,14.99
1433,305443,142.99
1434,305454,30.99
1435,305458,579.99
1436,305460,69.99
1437,305461,584.99
1438,305474,692.99
1439,305479,39.99
1440,305480,69.99
1441,305482,99.99
1442,305486,29.99
1443,305496,637.97
1444,305500,17.99
1445,305505,91.99
1446,305510,169.99
1447,305512,7.99
1448,305515,17.99
1449,305518,227.99
1450,305520,26.47
1451,305523,12.99
1452,305525,49.99
1453,305530,7.99
1454,305536,204.99
1455,305542,18.98
1456,305544,156.99
1457,305546,194.99
1458,305548,17.99
1459,305549,264.99
1460,305550,49.99
1461,305555,9.99
1462,305556,156.97
1463,305558,14.99
1464,305562,259.99
1465,305563,19.98
1466,305570,188.99
1467,305572,49.99
1468,305575,89.99
1469,305579,36.99
1470,305585,24.79
1471,305587,69.99
1472,305591,26.99
1473,305594,626.44
1474,305596,579.99
1475,305597,84.99
1476,305602,317.98
1477,305604,70.99
1478,305611,59.99
1479,305618,43.54
1480,305620,599.93
1481,305628,136.99
1482,305630,53.8
1483,305632,44.99
1484,305634,59.99
1485,305640,52.99
1486,305641,14.99
1487,305649,49.99
1488,305650,54.99
1489,305651,959.68
1490,305652,221.99
1491,305654,411.98
1492,305656,25.99
1493,305660,264.99
1494,305664,28.99
1495,305667,17.99
1496,305675,99.99
1497,305679,52.99
1498,305687,178.97
1499,305691,674.98
1500,305695,347.97
1501,305701,121.97999999999999
